DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28481254,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,203,21,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28481420,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,22,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28481420,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,22,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28481564,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,15,23,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28481564,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,15,23,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28481740,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,10,24,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28481740,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,10,24,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28481897,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,26,25,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28481897,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,26,25,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482066,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.95,26,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482066,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.95,26,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482204,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.95,27,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482204,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.95,27,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482366,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.95,28,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482366,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.95,28,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482493,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.95,29,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482493,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.95,29,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482657,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.95,30,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482657,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.95,30,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482789,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.85,31,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482789,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.85,31,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28482949,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202.85,32,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28482949,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202.85,32,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483086,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,215.7,33,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483086,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,215.7,33,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483268,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,222,34,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483268,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,222,34,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483399,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,216.5,35,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483399,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,216.5,35,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483553,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,222,36,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483553,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,222,36,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483658,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,223.95,37,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483658,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,223.95,37,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483841,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,222,38,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483841,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,222,38,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28483941,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,223.95,39,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28483941,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,223.95,39,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484064,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,223.95,40,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484064,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,223.95,40,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484211,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,216.5,41,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484211,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,216.5,41,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484340,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,223.95,42,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484340,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,223.95,42,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484443,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,224,43,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484443,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,224,43,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484573,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,218,44,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484573,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,218,44,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484673,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,212,45,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484673,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,212,45,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484798,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,27,46,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484798,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,27,46,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28484902,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,27,47,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28484902,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,27,47,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28485035,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,27,48,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28485035,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,27,48,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
