*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28469837,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,209,43,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469837,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,209,43,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470001,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,209,44,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470001,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,209,44,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470114,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,135,45,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470114,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,135,45,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470264,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,199,46,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470264,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,199,46,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470369,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,199,47,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470369,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,199,47,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470510,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,189.86,48,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470510,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,189.86,48,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
